Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Pendidikan,,,nan,Kosong,
Restoran dan Hotel,,,nan,Kosong,
Barang Pribadi dan Jasa Perorangan,https://beritajatim.com/fix-bpih-disepakati-turun-rp2-juta-jadi-rp-874-juta,29 Oktober,"Komisi VIII DPR RI bersama Menteri Haji dan Umrah RI menyetujui Biaya Penyelenggaraan Ibadah Haji (BPIH) tahun 1447 H/2026 M sebesar Rp87,4 juta. Angka ini turun sekitar Rp2 juta dibandingkan BPIH tahun lalu yaitu Rp89,4 juta. Penurunan ini disepakati dalam rapat kerja Komisi VIII DPR RI dengan Menteri Haji dan Umrah di Gedung DPR RI, Jakarta.",Positif,"Ringkasan berita tentang penyetujuan Biaya Penyelenggaraan Ibadah Haji (BPIH) tahun 2026 sebesar Rp87,4 juta dengan penurunan sekitar Rp2 juta dibandingkan tahun lalu menunjukkan sentimen positif. Alasan tersebut adalah karena penurunan biaya BPIH dapat membantu masyarakat yang ingin melaksanakan ibadah haji dengan lebih hemat dan terjangkau. Penyelenggaraan ibadah haji merupakan salah satu kegiatan religi yang sangat penting bagi umat Islam, sehingga penurunan biaya ini dapat meningkatkan keterjangkaean masyarakat untuk melaksanakan ibadah tersebut."
Pengeluaran Konsumsi Lembaga Non Profit,,,nan,Kosong,
Konsumsi Kolektif,"https://radarsidoarjo.jawapos.com/sport-health/856753283/bonus-atlet-porprov-2025-sidoarjo-bakal-cair-catat-waktunya, https://radarsidoarjo.jawapos.com/kota-delta/856752868/harga-pupuk-turun-petani-sidoarjo-diuntungkan-ini-rinciannya, https://www.jpnn.com/news/bea-cukai-sidoarjo-dan-pemkot-mojokerto-musnahkan-rokok-ilegal-senilai-rp-737-miliar, https://beritajatim.com/antisipasi-dampak-pengurangan-tkd-rp28-triliun-sekdaprov-adhy-usulkan-program-rp10-triliun-ke-pusat",27 Oktober; 27 Oktober; 27 Oktober; 29 Oktober,"Bea Cukai Sidoarjo dan Pemkot Mojokerto melaksanakan pemusnahan 4,9 juta batang rokok ilegal senilai Rp 7,37 miliar sebagai hasil penindakan pelanggaran di bidang cukai periode Mei hingga Juli 2025. Nilai barang yang dimusnahkan mencapai Rp 7.375.783.280 dengan potensi kerugian negara sebesar Rp 4.805.632.365. Kegiatan tersebut dilaksanakan secara seremonial di halaman Kantor Wali Kota Mojokerto pada Kamis (23/10).",Positif,Ringkasan berita ini memiliki sentimen positif karena kegiatan pemusnahan rokok ilegal yang dilakukan Bea Cukai Sidoarjo dan Pemkot Mojokerto dapat dianggap sebagai upaya untuk menghentikan pelanggaran cukai dan meningkatkan kesadaran masyarakat akan pentingnya hukum dan regulasi. Kegiatan ini juga menunjukkan komitmen pemerintah terhadap perlindungan masyarakat dan lingkungan dari dampak negatif rokok ilegal.
Konsumsi Individu,"https://radarsidoarjo.jawapos.com/kota-delta/856713472/fraksi-gerindra-dprd-sidoarjo-soroti-lemahnya-serapan-anggaran-rata-rata-hanya-mencapai-2766-persen, https://suryakabar.com/2025/10/26/bupati-sidoarjo-subandi-serahkan-hadiah-ratusan-juta-kepada-pemenang-lomba-rt-asri-sehat-dan-mandiri-ini-daftar-juaranya/, https://jatim.antaranews.com/berita/993989/pemkab-pastikan-pencairan-bonus-atlet-sidoarjo-pada-november-mendatang",17 Oktober; 26 Oktober; 27 Oktober,"Fraksi Gerindra DPRD Sidoarjo menyoroti lemahnya serapan anggaran, hanya mencapai 27,66%. Bupati Sidoarjo Subandi serahkan hadiah ratusan juta kepada pemenang Lomba RT Asri, Sehat dan Mandiri. Hadiah dibagi menjadi tiga kategori, yaitu RT Asri, RT Sehat, dan RT Mandiri. Pemkab Sidoarjo juga memberikan hadiah kepada RT yang menjadi juara harapan 1-7.",Negatif,"Ringkasan tentang Fraksi Gerindra DPRD Sidoarjo menyoroti lemahnya serapan anggaran, yang memiliki sentimen negatif. Alasan ini berdasarkan ringkasan karena fraksi tersebut menyoroti permasalahan yang terjadi di wilayah Sidoarjo, yaitu lemahnya penyerapan anggaran. Hal ini menunjukkan adanya masalah atau kegagalan dalam penggunaan anggaran, sehingga membentuk sentiment negatif."
Bangunan,"https://radarsidoarjo.jawapos.com/kota-delta/856738128/tiga-pekan-ambrol-warga-gisik-kidul-sedati-sidoarjo-bangun-jembatan-sementara, https://radarsidoarjo.jawapos.com/kota-delta/856693875/jembatan-gisik-kidul-sedati-sidoarjo-segera-diperbaiki-anggaran-capai-16-miliar, https://radarsidoarjo.jawapos.com/kota-delta/856749568/enam-ruas-jalan-di-sidoarjo-segera-diperbaiki-anggaran-capai-rp-11-miliar, https://jatim.times.co.id/news/berita/H76iWzWRO/Pemkab-Sidoarjo-Dukkung-Raperda-Fasilitasi-Pesantren, https://beritajatim.com/tmmd-kodim-0816-sidoarjo-rampungkan-sumur-bor-di-kedondong-petani-berkah-nyata, https://beritajatim.com/pemkab-pasuruan-perbaiki-33-ruas-jalan-dbhcht-80-miliar",23 Oktober; 13 Oktober; 26 Oktober; 26 Oktober; 27 Oktober,Pemkab Sidoarjo dukung Raperda Fasilitasi Pesantren untuk meningkatkan kualitas pendidikan dan peran pesantren di Kabupaten Sidoarjo. Raperda ini diharapkan sebagai jembatan kolaborasi antara pemerintah daerah dengan 192 pondok pesantren (Ponpes) yang ada di kabupaten tersebut. Bupati Sidoarjo Subandi mengatakan bahwa raperda ini juga sebagai bentuk pengakuan terhadap peran pesantren dalam mencerdaskan generasi muda dengan ilmu keagamaan dan cinta tanah air.,Positif,"Raperda Fasilitasi Pesantren di Kabupaten Sidoarjo mendapatkan sentimen positif karena berisi dukungan pemerintah daerah dalam meningkatkan kualitas pendidikan dan peran pesantren sebagai tempat mencerdaskan generasi muda. Raperda ini juga menunjukkan pengakuan terhadap peran pesantren yang diperkirakan akan membangun sinergi antara pemerintah dengan 192 ponpes di wilayah tersebut, sehingga dapat meningkatkan kualitas pendidikan dan keberlanjutan program-program pendidikan."
Non Bangunan,,,nan,Kosong,
Perubahan Inventori,,,nan,Kosong,
Ekspor Barang dan Jasa,,,nan,Kosong,
Impor Barang dan Jasa,https://beritajatim.com/fix-bpih-disepakati-turun-rp2-juta-jadi-rp-874-juta,29 Oktober,"Komisi VIII DPR RI bersama Menteri Haji dan Umrah RI menyepakati besaran Biaya Penyelenggaraan Ibadah Haji (BPIH) Tahun 1447 H/2026 M sebesar Rp 87,4 juta. Angka ini turun sekitar Rp2juta dibandingkan BPIH tahun lalu yaitu Rp 89,4 juta. Penurunan angka BPIH ini disepakati dalam Rapat Kerja Komisi VIII DPR RI dengan Menteri Haji dan Umrah di Gedung DPR RI, Jakarta, Rabu 29 Oktober 2025.",Positif,"Alasan sentimen ""Positif"" berdasarkan ringkasan adalah karena biaya penyelenggaraan ibadah haji (BPIH) Tahun 1447 H/2026 M menurun sekitar Rp2 juta dibandingkan tahun lalu. Penurunan angka ini memberikan kelebihan bagi masyarakat yang ingin melaksanakan ibadah haji, sehingga dapat lebih menghemat biaya dan membantu meningkatkan kemampuan ekonomi keluarga."
