Kategori,Url Berita,Tanggal,Ringkasan Fenomena,Sentiment,Alasan
Pertambangan Batubara dan Lignit,,,nan,Kosong,
Pertambangan Bijih Logam,,,nan,Kosong,
Pertambangan dan Penggalian Lainnya,,,nan,Kosong,
Industri Batu Bara,,,nan,Kosong,
Pengilangan Migas,,,nan,Kosong,
Industri Makanan dan Minuman,,,nan,Kosong,
Pengolahan Tembakau,https://www.rctiplus.com/news/detail/terkini/4669071/bea-cukai-sidoarjo-capai-rekor-penerimaan-di-2024-hingga-triliunan-rupiah,26 Januari,"Kantor Pengawasan dan Pelayanan Bea dan Cukai Tipe Madya Pabean B (KPPBC TMP B) Sidoarjo mencatatkan rekor penerimaan negara yang luar biasa sepanjang tahun 2024. Target penerimaan sebesar Rp 2,33 triliun berhasil terlampaui dengan realisasi mencapai Rp 2,56 triliun, atau sekitar 109,87%. Capaian ini menunjukkan kinerja yang sangat baik dan menjadi yang tertinggi dalam sejarah kantor tersebut. Keberhasilan ini didukung oleh optimalisasi pengawasan, pelayanan, serta sinergi yang kuat dengan berbagai pihak terkait.",Positif,"Sentimennya positif karena berita ini menyoroti keberhasilan dan pencapaian yang membanggakan dari Bea Cukai Sidoarjo. Mereka tidak hanya memenuhi, tetapi juga melampaui target penerimaan negara, yang menunjukkan kinerja keuangan dan administrasi yang sangat efisien. Angka realisasi yang mencapai rekor tertinggi dalam sejarah menunjukkan bahwa ada peningkatan signifikan dalam pengelolaan penerimaan negara, yang tentunya berdampak baik pada kas negara dan stabilitas ekonomi daerah."
Industri Tekstil dan Pakaian Jadi,https://radarsidoarjo.jawapos.com/features/855538811/perajin-barongsai-di-candi-sidoarjo-kebanjiran-order-jelang-imlek-cek-harganya,17 Januari,"Menjelang perayaan Imlek, perajin barongsai di Dusun Karangploso, Desa Gelam, Kecamatan Candi, Sidoarjo mengalami lonjakan pesanan yang signifikan. Kholil, seorang perajin, mengungkapkan bahwa pesanan datang dari berbagai kota di Jawa Timur, bahkan ada yang berasal dari luar pulau. Harga barongsai buatannya bervariasi, tergantung ukuran dan tingkat kerumitan, mulai dari Rp 5 juta hingga Rp 7,5 juta per set. Lonjakan permintaan ini menjadi berkah bagi para perajin, yang menunjukkan tingginya antusiasme masyarakat dalam merayakan Imlek dan melestarikan tradisi.",Positif,"Sentimen ini positif karena berita ini menyoroti dampak ekonomi yang menguntungkan bagi perajin lokal di Sidoarjo. Lonjakan pesanan barongsai menjelang Imlek menunjukkan tingginya permintaan dan apresiasi terhadap kerajinan tradisional. Hal ini tidak hanya meningkatkan pendapatan para perajin, tetapi juga membantu melestarikan seni budaya lokal. Situasi ini mencerminkan dinamika ekonomi yang sehat dan dampak positif dari perayaan budaya terhadap industri kreatif."
"Industri Kulit, Barang dari Kulit dan Alas Kaki",,,nan,Kosong,
"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",https://www.kompas.id/baca/nusantara/2024/06/21/kiat-industri-furnitur-dongkrak-ekspor-ditengah-restriksi-global,21 Juni,"Industri furnitur Indonesia berupaya meningkatkan ekspor di tengah hambatan global, seperti perang, krisis ekonomi, dan restriksi perdagangan dari beberapa negara. Strategi yang dilakukan antara lain dengan berpartisipasi aktif dalam pameran internasional, seperti Indonesia International Furniture Expo (IFEX) dan pameran di Vietnam dan Dubai. Upaya ini bertujuan untuk menarik pembeli dari pasar-pasar baru dan mempertahankan eksistensi produk Indonesia. Pelaku industri juga berkolaborasi dengan pemerintah untuk mendorong perbaikan regulasi dan kemudahan ekspor.",Positif,"Sentimennya positif karena berita ini menunjukkan resiliensi dan inisiatif dari industri furnitur Indonesia dalam menghadapi tantangan global. Meskipun dihadapkan pada berbagai kendala, para pelaku industri tidak pasif. Mereka aktif mencari solusi melalui ekspansi pasar dan kerja sama strategis dengan pemerintah. Berita ini mencerminkan semangat juang dan adaptasi yang kuat untuk terus berinovasi dan berkompetisi di pasar internasional, yang merupakan sinyal baik bagi pertumbuhan ekonomi dan industri kreatif nasional."
"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",,,nan,Kosong,
"Industri Kimia, Farmasi dan Obat Tradisional",,,nan,Kosong,
"Industri Karet, Barang dari Karet dan Plastik",https://industri.umsida.ac.id/produktivitas-manufaktur-meningkat-efek-implementasi-autonomous-maintenance-di-pt-rucika/,9 Januari,"PT Rucika, sebuah perusahaan manufaktur, berhasil meningkatkan produktivitasnya setelah menerapkan sistem Autonomous Maintenance (AM). Penerapan AM, yang merupakan bagian dari Total Productive Maintenance (TPM), berfokus pada pelatihan karyawan untuk melakukan perawatan mesin secara mandiri. Inisiatif ini membuat karyawan lebih bertanggung jawab atas mesin yang mereka operasikan, sehingga masalah kecil dapat diidentifikasi dan diatasi lebih cepat. Hasilnya, perusahaan mengalami peningkatan efisiensi yang signifikan, dengan tingkat produksi yang lebih stabil dan waktu henti (downtime) mesin yang menurun.",Positif,"Sentimen ini positif karena berita ini menyoroti keberhasilan dan inovasi dalam industri manufaktur. Implementasi Autonomous Maintenance (AM) yang dilakukan oleh PT Rucika tidak hanya berhasil meningkatkan produktivitas dan efisiensi perusahaan, tetapi juga memberdayakan karyawan. Adanya peningkatan tanggung jawab dan keterampilan pada para pekerja merupakan indikasi lingkungan kerja yang positif dan progresif. Keberhasilan ini menunjukkan bahwa perusahaan mampu beradaptasi dan menerapkan strategi modern untuk mencapai tujuan bisnisnya, yang merupakan sinyal baik bagi pertumbuhan industri."
Industri Barang Galian bukan Logam,https://www.liputan6.com/bisnis/read/5885567/harga-emas-antam-hari-ini-18-januari-2025-susut-rp-7000-cek-daftar-lengkapnya,18 Januari,"Harga emas batangan PT Aneka Tambang Tbk (Antam) pada hari ini, 18 Januari 2025, mengalami penurunan signifikan. Berdasarkan data dari situs resmi logammulia.com, harga emas Antam turun sebesar Rp 7.000 per gram. Dengan penurunan ini, harga jual emas Antam dengan berat 1 gram menjadi Rp 1.300.000. Sementara itu, harga pembelian kembali (buyback) juga ikut turun sebesar Rp 7.000, menjadi Rp 1.200.000 per gram. Penurunan ini mencerminkan dinamika pasar emas yang fluktuatif.",Negatif,"Sentimen negatif muncul dari berita ini karena penurunan harga emas secara langsung berdampak merugikan bagi para investor yang membeli emas dalam waktu dekat. Penurunan harga jual dan harga buyback sebesar Rp 7.000 per gram ini dapat mengurangi nilai investasi mereka. Meskipun fluktuasi harga adalah hal yang wajar dalam pasar komoditas, penurunan yang terjadi ini tidak menguntungkan bagi pemilik emas saat ini."
Industri Logam Dasar,https://www.itworks.id/71636/industri-barang-logam-elektronik-dan-peralatan-listrik-tumbuh-729.html,7 Januari,"Industri barang logam, komputer, barang elektronik, optik, dan peralatan listrik (ILMEA) menunjukkan pertumbuhan signifikan sebesar 7,29% pada kuartal IV-2024. Pertumbuhan ini melampaui pertumbuhan ekonomi nasional yang sebesar 5,04%. Sektor ILMEA menjadi salah satu pilar utama penggerak pertumbuhan industri pengolahan non-migas. Peningkatan ini didorong oleh permintaan domestik dan ekspor yang kuat, serta dukungan dari pemerintah melalui berbagai kebijakan.",Positif,"Sentimennya positif karena berita ini menyoroti kinerja industri manufaktur yang sangat baik dan kontribusi positifnya terhadap perekonomian nasional. Pertumbuhan yang jauh melampaui rata-rata nasional menunjukkan bahwa sektor ini kuat, berdaya saing, dan memiliki potensi besar untuk terus berkembang. Kondisi ini mencerminkan iklim investasi yang sehat dan keberhasilan kebijakan pemerintah dalam mendukung sektor industri, yang merupakan pertanda baik bagi pertumbuhan ekonomi Indonesia secara keseluruhan."
"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",,,nan,Kosong,
Industri Mesin dan Perlengkapan YTDL,,,nan,Kosong,
Industri Alat Angkutan,,,nan,Kosong,
Industri Furnitur,,,nan,Kosong,
"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",https://www.detik.com/jatim/budaya/d-7737894/suka-duka-perajin-barongsai-di-sidoarjo-layani-pesanan-imlek,18 Januari,"Seorang perajin barongsai di Sidoarjo, Jawa Timur, bernama Kholil mengungkapkan suka dukanya dalam membuat kerajinan tersebut menjelang Imlek. Kholil mengalami lonjakan pesanan yang signifikan, bahkan mencapai 10-15 barongsai per musim. Pesanan datang dari berbagai wilayah di Jawa Timur dan luar pulau. Namun, ia menghadapi kendala seperti harga bahan baku yang terus naik, mulai dari kain hingga rotan. Meskipun demikian, Kholil tetap mempertahankan kualitas dan detail seni dalam setiap karyanya, yang dihargai dengan harga bervariasi antara Rp 5 juta hingga Rp 7,5 juta per set.",Positif,"Sentimennya positif karena berita ini menyoroti semangat dan dedikasi seorang perajin dalam melestarikan budaya di tengah tantangan ekonomi. Lonjakan pesanan menunjukkan apresiasi masyarakat terhadap kerajinan barongsai, yang berdampak positif pada pendapatan perajin. Meskipun Kholil menghadapi kenaikan harga bahan baku, ia tetap berkomitmen pada kualitas, menunjukkan ketahanan dan semangat wirausaha yang kuat. Ini adalah contoh baik bagaimana tradisi budaya bisa terus hidup dan memberikan manfaat ekonomi bagi masyarakat."
Ketenagalistrikan,https://web.pln.co.id/cms/media/siaran-pers/2025/01/diskon-listrik-januari-mulai-berlaku-masyarakat-tak-perlu-buru-buru-beli-token-bisa-sepanjang-bulan/,2 Januari,"PT PLN (Persero) mengumumkan bahwa diskon tarif listrik untuk pelanggan rumah tangga 450 VA dan 900 VA bersubsidi mulai berlaku sejak Januari 2025. Pemberian diskon ini merupakan upaya pemerintah untuk membantu meringankan beban ekonomi masyarakat. Pelanggan pascabayar akan menerima diskon otomatis di tagihan, sementara pelanggan prabayar bisa mendapatkan diskon saat membeli token. PLN menegaskan bahwa masyarakat tidak perlu terburu-buru membeli token di awal bulan karena diskon berlaku sepanjang bulan Januari.",Positif,"Sentimennya positif karena berita ini memberikan kabar baik yang langsung menguntungkan masyarakat. Pemberian diskon listrik oleh PLN merupakan bentuk nyata dari bantuan pemerintah untuk meringankan beban finansial, terutama bagi keluarga kurang mampu. Kebijakan ini disambut baik karena menunjukkan perhatian pemerintah terhadap kesejahteraan rakyat, dan informasi bahwa diskon berlaku sepanjang bulan memberikan kepastian dan kemudahan bagi pelanggan."
Pengadaan Gas dan Produksi Es,,,nan,Kosong,
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",https://sidoarjoterkini.com/perumda-delta-tirta-salurkan-bantuan-air-bersih-untuk-warga-terdampak-banjir-di-candi/,24 Januari,"Perumda Delta Tirta Sidoarjo menyalurkan bantuan air bersih kepada warga yang terdampak banjir di empat desa di Kecamatan Candi. Bantuan ini disalurkan menggunakan satu unit mobil tangki dengan kapasitas 5.000 liter. Kegiatan ini dilakukan untuk membantu memenuhi kebutuhan air bersih warga, karena pasokan air bersih dari PAMSIMAS di beberapa desa terganggu akibat banjir. Bantuan ini merupakan bagian dari upaya tanggap darurat untuk meringankan beban masyarakat.",Positif,Sentimennya positif karena berita ini menunjukkan aksi kepedulian dan respons cepat dari pihak Perumda Delta Tirta Sidoarjo terhadap bencana yang dialami warga. Penyaluran bantuan air bersih ini sangat membantu masyarakat yang kesulitan mendapatkan air bersih akibat banjir. Aksi ini menunjukkan fungsi sosial dan tanggung jawab perusahaan dalam melayani masyarakat di saat-saat darurat.
Konstruksi,https://sidoarjonews.id/renovasi-pagar-pendopo-delta-wibawa-sidoarjo-habiskan-rp-1-miliar-ini-hasilnya/,2 Januari,Pemerintah Kabupaten Sidoarjo telah menyelesaikan proyek renovasi pagar Pendopo Delta Wibawa. Proyek ini menghabiskan anggaran sekitar Rp 1 miliar dan bertujuan untuk memperkuat keamanan serta memperindah tampilan. Proyek ini mencakup penggantian pagar besi yang lama dengan yang baru. Renovasi ini merupakan bagian dari upaya pemerintah daerah untuk menjaga dan merawat aset-aset penting di Sidoarjo.,Positif,"Sentimennya positif karena berita ini melaporkan selesainya sebuah proyek renovasi yang bertujuan baik. Proyek ini tidak hanya memperkuat keamanan aset pemerintah, tetapi juga meningkatkan estetika lingkungan sekitar. Anggaran sebesar Rp 1 miliar yang digunakan untuk merenovasi pagar menunjukkan komitmen pemerintah daerah dalam merawat dan menjaga fasilitas publik, yang merupakan tindakan positif untuk memastikan aset-aset tersebut tetap terawat dan berfungsi dengan baik."
"Perdagangan Mobil, Sepeda Motor dan Reparasinya",,,nan,Kosong,
"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor","https://www.detik.com/jatim/bisnis/d-7740421/dampak-wabah-pmk-penjualan-daging-di-sidoarjo-merosot-hampir-50-persen, https://www.detik.com/jatim/bisnis/d-7723363/menko-zulhas-sidak-pasar-sidoarjo-pastikan-harga-bapok-di-jatim-stabil",20 Januari; 8 Januari,"Penjualan daging di Sidoarjo mengalami penurunan drastis, mendekati 50%, akibat kembali merebaknya wabah Penyakit Mulut dan Kuku (PMK). Para pedagang daging sapi di sejumlah pasar, termasuk Pasar Porong, mengeluhkan omzet yang merosot tajam karena kekhawatiran masyarakat terhadap penyakit ini. Sementara itu, Menteri Perdagangan Zulkifli Hasan atau Zulhas sempat melakukan sidak ke pasar-pasar di Sidoarjo untuk memastikan harga kebutuhan pokok tetap stabil, sebagai upaya untuk menjaga daya beli masyarakat di tengah kondisi ekonomi yang dinamis.",Negatif,"Sentimennya negatif karena meskipun pemerintah berupaya menjaga stabilitas harga, berita ini menyoroti dampak ekonomi yang merugikan dan nyata. Penurunan penjualan daging hingga hampir 50% akibat wabah PMK secara langsung memukul pendapatan para pedagang dan menciptakan ketidakpastian dalam rantai pasokan. Kondisi ini menunjukkan adanya masalah fundamental yang serius, di mana ancaman wabah dapat dengan cepat mengguncang stabilitas ekonomi lokal, jauh lebih dominan daripada kabar tentang upaya pemerintah untuk mengawasi harga."
Angkutan Rel,https://www.kompas.com/properti/read/2025/01/14/183000121/ada-kereta-api-tambahan-buat-libur-panjang-akhir-januari-ini-jadwalnya,14 Januari,"PT Kereta Api Indonesia (KAI) menambah layanan kereta api untuk mengantisipasi lonjakan penumpang selama libur panjang akhir Januari. Terdapat beberapa kereta tambahan yang dioperasikan untuk rute favorit, termasuk ke Bandung, Yogyakarta, dan Surabaya. Jadwal tambahan ini disiapkan untuk memfasilitasi masyarakat yang ingin melakukan perjalanan, memastikan kapasitas angkut yang cukup, dan memberikan kemudahan mobilitas selama masa liburan.",Positif,"Sentimennya positif karena berita ini memberikan informasi yang bermanfaat dan menguntungkan bagi masyarakat. Penambahan jadwal kereta api oleh KAI menunjukkan respons yang proaktif terhadap kebutuhan publik akan transportasi selama libur panjang. Langkah ini tidak hanya membantu kelancaran mobilitas, tetapi juga memberikan kemudahan dan kepastian bagi para calon penumpang. Hal ini mencerminkan pelayanan yang baik dari perusahaan transportasi publik."
Angkutan Darat,https://radarsurabayabisnis.jawapos.com/transportasi-logistik/2185531536/rute-purabaya-kenjeran-park-via-its-surabaya-beroperasi-lagi-per-18-januari-2025-ini-bus-penggantinya,15 Januari,"Rute bus Trans Semanggi Suroboyo dengan trayek Purabaya - Kenjeran Park melalui ITS akan beroperasi kembali mulai 18 Januari 2025, setelah sempat berhenti beroperasi. Layanan ini akan menggunakan bus Trans Jatim yang dikenal dengan sebutan bus ""Merah"". Bus ini merupakan pengganti dari bus sebelumnya dan akan melayani rute tersebut untuk memenuhi kebutuhan transportasi publik masyarakat Surabaya, khususnya di wilayah timur.",Positif,"Sentimen ini positif karena berita ini memberikan kabar baik tentang reaktivasi layanan transportasi publik yang penting bagi masyarakat. Dioperasikannya kembali rute bus Purabaya - Kenjeran Park menunjukkan komitmen pemerintah daerah untuk menyediakan moda transportasi yang mudah diakses dan terjangkau. Hal ini akan meningkatkan konektivitas dan mobilitas warga, serta mengurangi kepadatan lalu lintas."
Angkutan Laut,,,nan,Kosong,
Angkutan Sungai Danau dan Penyeberangan,,,nan,Kosong,
Angkutan Udara,"https://www.detik.com/jatim/berita/d-7720812/fakta-sty-dipecat-jadi-pelatih-timnas-berujung-banjir-komentar-pemain-netizen, https://radarsidoarjo.jawapos.com/ekonomi-bisnis/855565187/libur-panjang-penumpang-pesawat-di-bandara-juanda-sidoarjo-diprediksi-alami-lonjakan",7 Januari; 24 Januari,"Dunia sepak bola Indonesia dihebohkan oleh kabar pemecatan Shin Tae-yong (STY) sebagai pelatih Timnas Indonesia, yang memicu banjir komentar kekecewaan dari para pemain dan netizen. Sementara itu, di sektor transportasi, Bandara Juanda Sidoarjo diprediksi akan mengalami lonjakan jumlah penumpang pesawat selama periode libur panjang akhir Januari. Lonjakan ini diperkirakan sebagai respons dari meningkatnya mobilitas masyarakat untuk berlibur atau pulang kampung.",Negatif,"Sentimennya negatif karena berita tentang pemecatan pelatih Timnas Indonesia, Shin Tae-yong, menimbulkan gejolak dan kekecewaan yang kuat di kalangan pemain dan masyarakat. Keputusan ini dianggap kontroversial dan menimbulkan sentimen publik yang tidak positif. Dampak emosional dan ketidakpuasan yang timbul dari peristiwa ini jauh lebih dominan daripada berita tentang lonjakan penumpang di bandara, yang merupakan fenomena musiman dan positif yang bersifat rutin."
"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",https://www.detik.com/jatim/berita/d-7729271/relawan-dan-polisi-sidoarjo-bersatu-tambal-jalan-berlubang,12 Januari,"Relawan dari Komunitas Warga Peduli Sidoarjo dan anggota kepolisian dari Polsek Taman bersatu melakukan aksi sosial dengan menambal jalan berlubang di Jalan Raya Trosobo, Taman, Sidoarjo. Aksi ini dilakukan karena kondisi jalan yang rusak membahayakan pengguna jalan dan sering menjadi penyebab kecelakaan. Dengan kerja sama ini, mereka berharap dapat menciptakan rasa aman bagi pengendara dan mencegah terjadinya kecelakaan lebih lanjut.",Positif,"Sentimennya positif karena berita ini menunjukkan sinergi dan kepedulian yang kuat antara aparat kepolisian dan masyarakat sipil. Aksi bersama untuk menambal jalan rusak adalah tindakan proaktif yang langsung memberikan manfaat nyata bagi keselamatan dan kenyamanan publik. Hal ini mencerminkan inisiatif yang baik dalam mengatasi masalah infrastruktur dan mempererat hubungan antara pihak berwajib dengan komunitas, menciptakan rasa aman dan kebersamaan."
Penyediaan Akomodasi,,,nan,Kosong,
Penyediaan Makan Minum,https://www.detik.com/jatim/kuliner/d-7737711/meski-klubnya-sering-kalah-tapi-soto-manchester-united-ini-rasanya-juara,17 Januari,"Seorang penjual soto di Sidoarjo bernama Suwarso memiliki nama warung unik yang menarik perhatian, yaitu Soto Manchester United (MU). Meskipun tim sepak bola kesayangannya, MU, sering mengalami kekalahan, Suwarso tetap optimistis dan yakin bahwa rasa sotonya tetap ""juara."" Warung ini telah beroperasi selama 10 tahun dan berhasil menarik pelanggan dengan cita rasa kuah soto lamongan yang kaya rempah, serta nama unik yang menjadi identitas warungnya.",Positif,"Sentimennya positif karena berita ini menyoroti kreativitas dan semangat wirausaha. Nama unik ""Soto Manchester United"" yang digunakan oleh penjual ini berhasil menjadi daya tarik tersendiri dan menciptakan identitas yang kuat bagi usahanya. Meskipun terinspirasi dari tim yang kurang beruntung, semangat optimistis sang pemilik untuk mempertahankan kualitas soto hingga menjadi ""juara"" adalah hal yang menginspirasi. Berita ini menunjukkan sisi positif dari inovasi bisnis lokal dan dampak positifnya terhadap keberlanjutan usaha."
